PrimaryKey,id,description,value,valueUnitOfMeasure
153980610minutes,153980,Downtime in BREADBLAST06,610,minutes
1539725minutes,153972,Downtime in BREADBLAST04,5,minutes
15348110minutes,153481,Downtime in BREADBLAST06,10,minutes
15350717minutes,153507,Downtime in BREADBLAST05,17,minutes
15351515minutes,153515,Downtime in BREADBLAST05,15,minutes
15349828minutes,153498,Downtime in BREADBLAST05,28,minutes
15350120minutes,153501,Downtime in BREADBLAST05,20,minutes
15350221minutes,153502,Downtime in BREADBLAST05,21,minutes
15350621minutes,153506,Downtime in BREADBLAST05,21,minutes
1535083minutes,153508,Downtime in BREADBLAST04,3,minutes
15355323minutes,153553,Downtime in BREADBLAST06,23,minutes
15355522minutes,153555,Downtime in BREADBLAST06,22,minutes
15354426minutes,153544,Downtime in BREADBLAST06,26,minutes
1535482minutes,153548,Downtime in BREADBLAST06,2,minutes
15355623minutes,153556,Downtime in BREADBLAST06,23,minutes
151777720minutes,151777,Downtime in BREADBLAST04,720,minutes
151778720minutes,151778,Downtime in BREADBLAST04,720,minutes
151779-1minutes,151779,Downtime in BREADBLAST04,-1,minutes
1517800minutes,151780,Downtime in BREADBLAST04,0,minutes
151781720minutes,151781,Downtime in BREADBLAST04,720,minutes
151782-1minutes,151782,Downtime in BREADBLAST04,-1,minutes
1517830minutes,151783,Downtime in BREADBLAST04,0,minutes
151784720minutes,151784,Downtime in BREADBLAST04,720,minutes
151785720minutes,151785,Downtime in BREADBLAST04,720,minutes
151786720minutes,151786,Downtime in BREADBLAST04,720,minutes
151787720minutes,151787,Downtime in BREADBLAST04,720,minutes
151788-1minutes,151788,Downtime in BREADBLAST04,-1,minutes
1517555minutes,151755,Downtime in BREADBLAST05,5,minutes
15176418minutes,151764,Downtime in BREADBLAST06,18,minutes
15180525minutes,151805,Downtime in BREADBLAST06,25,minutes
15182121minutes,151821,Downtime in BREADBLAST06,21,minutes
15184223minutes,151842,Downtime in BREADBLAST06,23,minutes
15184320minutes,151843,Downtime in BREADBLAST06,20,minutes
1518440minutes,151844,Downtime in BREADBLAST06,0,minutes
15183923minutes,151839,Downtime in BREADBLAST06,23,minutes
15196016minutes,151960,Downtime in BREADBLAST06,16,minutes
16274321minutes,162743,Downtime in BREADBLAST04,21,minutes
1627440minutes,162744,Downtime in BREADBLAST04,0,minutes
16274121minutes,162741,Downtime in BREADBLAST04,21,minutes
16275723minutes,162757,Downtime in BREADBLAST05,23,minutes
16278320minutes,162783,Downtime in BREADBLAST06,20,minutes
16281018minutes,162810,Downtime in BREADBLAST06,18,minutes
16281321minutes,162813,Downtime in BREADBLAST06,21,minutes
1628333minutes,162833,Downtime in BREADBLAST04,3,minutes
1628345minutes,162834,Downtime in BREADBLAST04,5,minutes
16283720minutes,162837,Downtime in BREADBLAST04,20,minutes
16808598minutes,168085,Downtime in BREADBLAST04,98,minutes
16808821minutes,168088,Downtime in BREADBLAST04,21,minutes
1680894minutes,168089,Downtime in BREADBLAST04,4,minutes
16811633minutes,168116,Downtime in BREADBLAST06,33,minutes
16811922minutes,168119,Downtime in BREADBLAST06,22,minutes
16814016minutes,168140,Downtime in BREADBLAST06,16,minutes
1681432minutes,168143,Downtime in BREADBLAST05,2,minutes
16369010minutes,163690,Downtime in BREADBLAST04,10,minutes
16371061minutes,163710,Downtime in BREADBLAST04,61,minutes
163681126minutes,163681,Downtime in BREADBLAST04,126,minutes
163682720minutes,163682,Downtime in BREADBLAST04,720,minutes
163683720minutes,163683,Downtime in BREADBLAST04,720,minutes
163684720minutes,163684,Downtime in BREADBLAST04,720,minutes
163685363minutes,163685,Downtime in BREADBLAST04,363,minutes
16373916minutes,163739,Downtime in BREADBLAST04,16,minutes
16372224minutes,163722,Downtime in BREADBLAST04,24,minutes
16374812minutes,163748,Downtime in BREADBLAST06,12,minutes
16376916minutes,163769,Downtime in BREADBLAST06,16,minutes
1637733minutes,163773,Downtime in BREADBLAST05,3,minutes
15290923minutes,152909,Downtime in BREADBLAST04,23,minutes
15291015minutes,152910,Downtime in BREADBLAST06,15,minutes
15291423minutes,152914,Downtime in BREADBLAST04,23,minutes
1529155minutes,152915,Downtime in BREADBLAST06,5,minutes
1529162minutes,152916,Downtime in BREADBLAST06,2,minutes
15292821minutes,152928,Downtime in BREADBLAST04,21,minutes
1529297minutes,152929,Downtime in BREADBLAST04,7,minutes
15294726minutes,152947,Downtime in BREADBLAST05,26,minutes
15299021minutes,152990,Downtime in BREADBLAST05,21,minutes
15299320minutes,152993,Downtime in BREADBLAST05,20,minutes
15298724minutes,152987,Downtime in BREADBLAST05,24,minutes
15299515minutes,152995,Downtime in BREADBLAST05,15,minutes
15301322minutes,153013,Downtime in BREADBLAST06,22,minutes
16451435minutes,164514,Downtime in BREADBLAST05,35,minutes
164528204minutes,164528,Downtime in BREADBLAST05,204,minutes
1645291minutes,164529,Downtime in BREADBLAST05,1,minutes
16456825minutes,164568,Downtime in BREADBLAST05,25,minutes
164579628minutes,164579,Downtime in BREADBLAST04,628,minutes
164580720minutes,164580,Downtime in BREADBLAST04,720,minutes
164581720minutes,164581,Downtime in BREADBLAST04,720,minutes
164582720minutes,164582,Downtime in BREADBLAST04,720,minutes
164583720minutes,164583,Downtime in BREADBLAST04,720,minutes
164584720minutes,164584,Downtime in BREADBLAST04,720,minutes
164585720minutes,164585,Downtime in BREADBLAST04,720,minutes
164586720minutes,164586,Downtime in BREADBLAST04,720,minutes
164587720minutes,164587,Downtime in BREADBLAST04,720,minutes
164588509minutes,164588,Downtime in BREADBLAST04,509,minutes
16459120minutes,164591,Downtime in BREADBLAST04,20,minutes
16459636minutes,164596,Downtime in BREADBLAST04,36,minutes
16459810minutes,164598,Downtime in BREADBLAST04,10,minutes
16458911minutes,164589,Downtime in BREADBLAST04,11,minutes
16459921minutes,164599,Downtime in BREADBLAST04,21,minutes
14512849minutes,145128,Downtime in BREADBLAST05,49,minutes
14513930minutes,145139,Downtime in BREADBLAST07,30,minutes
145140100minutes,145140,Downtime in BREADBLAST07,100,minutes
15120416minutes,151204,Downtime in BREADBLAST06,16,minutes
15118932minutes,151189,Downtime in BREADBLAST05,32,minutes
15121264minutes,151212,Downtime in BREADBLAST07,64,minutes
15119321minutes,151193,Downtime in BREADBLAST05,21,minutes
1511941minutes,151194,Downtime in BREADBLAST05,1,minutes
1512114minutes,151211,Downtime in BREADBLAST06,4,minutes
15129228minutes,151292,Downtime in BREADBLAST07,28,minutes
15129421minutes,151294,Downtime in BREADBLAST06,21,minutes
1455866minutes,145586,Downtime in BREADBLAST05,6,minutes
14556927minutes,145569,Downtime in BREADBLAST05,27,minutes
14558531minutes,145585,Downtime in BREADBLAST05,31,minutes
145554472minutes,145554,Downtime in BREADBLAST05,472,minutes
145555720minutes,145555,Downtime in BREADBLAST05,720,minutes
145556182minutes,145556,Downtime in BREADBLAST05,182,minutes
15005219minutes,150052,Downtime in BREADBLAST06,19,minutes
15004025minutes,150040,Downtime in BREADBLAST07,25,minutes
1457872minutes,145787,Downtime in BREADBLAST06,2,minutes
1458345minutes,145834,Downtime in BREADBLAST05,5,minutes
14588230minutes,145882,Downtime in BREADBLAST06,30,minutes
14587924minutes,145879,Downtime in BREADBLAST06,24,minutes
15382224minutes,153822,Downtime in BREADBLAST06,24,minutes
1538293minutes,153829,Downtime in BREADBLAST05,3,minutes
15383822minutes,153838,Downtime in BREADBLAST05,22,minutes
15384019minutes,153840,Downtime in BREADBLAST05,19,minutes
1538410minutes,153841,Downtime in BREADBLAST05,0,minutes
153854270minutes,153854,Downtime in BREADBLAST04,270,minutes
15385513minutes,153855,Downtime in BREADBLAST07,13,minutes
15385615minutes,153856,Downtime in BREADBLAST07,15,minutes
153857161minutes,153857,Downtime in BREADBLAST07,161,minutes
15388322minutes,153883,Downtime in BREADBLAST04,22,minutes
15388721minutes,153887,Downtime in BREADBLAST04,21,minutes
153880270minutes,153880,Downtime in BREADBLAST04,270,minutes
153881304minutes,153881,Downtime in BREADBLAST04,304,minutes
15388520minutes,153885,Downtime in BREADBLAST04,20,minutes
15389021minutes,153890,Downtime in BREADBLAST04,21,minutes
15389317minutes,153893,Downtime in BREADBLAST04,17,minutes
15392825minutes,153928,Downtime in BREADBLAST04,25,minutes
14533013minutes,145330,Downtime in BREADBLAST05,13,minutes
14545523minutes,145455,Downtime in BREADBLAST05,23,minutes
14545823minutes,145458,Downtime in BREADBLAST05,23,minutes
14546021minutes,145460,Downtime in BREADBLAST05,21,minutes
1457322minutes,145732,Downtime in BREADBLAST05,2,minutes
14573421minutes,145734,Downtime in BREADBLAST05,21,minutes
1457353minutes,145735,Downtime in BREADBLAST05,3,minutes
1457313minutes,145731,Downtime in BREADBLAST05,3,minutes
1457455minutes,145745,Downtime in BREADBLAST06,5,minutes
14574827minutes,145748,Downtime in BREADBLAST06,27,minutes
14575025minutes,145750,Downtime in BREADBLAST06,25,minutes
1457548minutes,145754,Downtime in BREADBLAST06,8,minutes
14578918minutes,145789,Downtime in BREADBLAST06,18,minutes
14579116minutes,145791,Downtime in BREADBLAST05,16,minutes
163858225minutes,163858,Downtime in BREADBLAST04,225,minutes
1638598minutes,163859,Downtime in BREADBLAST04,8,minutes
16386822minutes,163868,Downtime in BREADBLAST05,22,minutes
16386930minutes,163869,Downtime in BREADBLAST04,30,minutes
16387824minutes,163878,Downtime in BREADBLAST05,24,minutes
16388222minutes,163882,Downtime in BREADBLAST05,22,minutes
16389444minutes,163894,Downtime in BREADBLAST05,44,minutes
16389514minutes,163895,Downtime in BREADBLAST05,14,minutes
16389822minutes,163898,Downtime in BREADBLAST05,22,minutes
16390021minutes,163900,Downtime in BREADBLAST05,21,minutes
16392218minutes,163922,Downtime in BREADBLAST06,18,minutes
16386521minutes,163865,Downtime in BREADBLAST05,21,minutes
147791720minutes,147791,Downtime in BREADBLAST04,720,minutes
147792720minutes,147792,Downtime in BREADBLAST04,720,minutes
147793720minutes,147793,Downtime in BREADBLAST04,720,minutes
147794720minutes,147794,Downtime in BREADBLAST04,720,minutes
147795720minutes,147795,Downtime in BREADBLAST04,720,minutes
147796720minutes,147796,Downtime in BREADBLAST04,720,minutes
147797427minutes,147797,Downtime in BREADBLAST04,427,minutes
1478015minutes,147801,Downtime in BREADBLAST04,5,minutes
14780220minutes,147802,Downtime in BREADBLAST04,20,minutes
14780725minutes,147807,Downtime in BREADBLAST04,25,minutes
14782020minutes,147820,Downtime in BREADBLAST04,20,minutes
14782321minutes,147823,Downtime in BREADBLAST04,21,minutes
1478241minutes,147824,Downtime in BREADBLAST04,1,minutes
1478384minutes,147838,Downtime in BREADBLAST04,4,minutes
14799217minutes,147992,Downtime in BREADBLAST04,17,minutes
15124219minutes,151242,Downtime in BREADBLAST05,19,minutes
16507013minutes,165070,Downtime in BREADBLAST05,13,minutes
16509714minutes,165097,Downtime in BREADBLAST06,14,minutes
16510514minutes,165105,Downtime in BREADBLAST05,14,minutes
16510443minutes,165104,Downtime in BREADBLAST05,43,minutes
1651232minutes,165123,Downtime in BREADBLAST06,2,minutes
1650923minutes,165092,Downtime in BREADBLAST05,3,minutes
16509521minutes,165095,Downtime in BREADBLAST06,21,minutes
1651405minutes,165140,Downtime in BREADBLAST06,5,minutes
1651414minutes,165141,Downtime in BREADBLAST06,4,minutes
16509912minutes,165099,Downtime in BREADBLAST06,12,minutes
16510020minutes,165100,Downtime in BREADBLAST06,20,minutes
1651063minutes,165106,Downtime in BREADBLAST05,3,minutes
16511413minutes,165114,Downtime in BREADBLAST06,13,minutes
15400518minutes,154005,Downtime in BREADBLAST07,18,minutes
15402916minutes,154029,Downtime in BREADBLAST05,16,minutes
15404719minutes,154047,Downtime in BREADBLAST04,19,minutes
15407318minutes,154073,Downtime in BREADBLAST04,18,minutes
15407413minutes,154074,Downtime in BREADBLAST04,13,minutes
15407925minutes,154079,Downtime in BREADBLAST04,25,minutes
14539326minutes,145393,Downtime in BREADBLAST05,26,minutes
1516370minutes,151637,Downtime in BREADBLAST07,0,minutes
151638720minutes,151638,Downtime in BREADBLAST07,720,minutes
151639-1minutes,151639,Downtime in BREADBLAST07,-1,minutes
15165822minutes,151658,Downtime in BREADBLAST05,22,minutes
1516340minutes,151634,Downtime in BREADBLAST04,0,minutes
151635720minutes,151635,Downtime in BREADBLAST04,720,minutes
151636-1minutes,151636,Downtime in BREADBLAST04,-1,minutes
15169510minutes,151695,Downtime in BREADBLAST06,10,minutes
14557216minutes,145572,Downtime in BREADBLAST05,16,minutes
14563826minutes,145638,Downtime in BREADBLAST05,26,minutes
14564410minutes,145644,Downtime in BREADBLAST05,10,minutes
14560710minutes,145607,Downtime in BREADBLAST07,10,minutes
14564949minutes,145649,Downtime in BREADBLAST07,49,minutes
14566024minutes,145660,Downtime in BREADBLAST05,24,minutes
14566170minutes,145661,Downtime in BREADBLAST05,70,minutes
14563626minutes,145636,Downtime in BREADBLAST05,26,minutes
14564122minutes,145641,Downtime in BREADBLAST05,22,minutes
1456454minutes,145645,Downtime in BREADBLAST05,4,minutes
14564813minutes,145648,Downtime in BREADBLAST05,13,minutes
1456526minutes,145652,Downtime in BREADBLAST05,6,minutes
1456537minutes,145653,Downtime in BREADBLAST05,7,minutes
14569562minutes,145695,Downtime in BREADBLAST06,62,minutes
14570015minutes,145700,Downtime in BREADBLAST06,15,minutes
14570124minutes,145701,Downtime in BREADBLAST06,24,minutes
1456930minutes,145693,Downtime in BREADBLAST05,0,minutes
145694159minutes,145694,Downtime in BREADBLAST05,159,minutes
14569614minutes,145696,Downtime in BREADBLAST06,14,minutes
1456977minutes,145697,Downtime in BREADBLAST06,7,minutes
1457037minutes,145703,Downtime in BREADBLAST06,7,minutes
145676393minutes,145676,Downtime in BREADBLAST06,393,minutes
145677720minutes,145677,Downtime in BREADBLAST06,720,minutes
145678720minutes,145678,Downtime in BREADBLAST06,720,minutes
145679720minutes,145679,Downtime in BREADBLAST06,720,minutes
145680720minutes,145680,Downtime in BREADBLAST06,720,minutes
145681720minutes,145681,Downtime in BREADBLAST06,720,minutes
145682720minutes,145682,Downtime in BREADBLAST06,720,minutes
145683720minutes,145683,Downtime in BREADBLAST06,720,minutes
145684720minutes,145684,Downtime in BREADBLAST06,720,minutes
145685720minutes,145685,Downtime in BREADBLAST06,720,minutes
145686720minutes,145686,Downtime in BREADBLAST06,720,minutes
145687720minutes,145687,Downtime in BREADBLAST06,720,minutes
145688720minutes,145688,Downtime in BREADBLAST06,720,minutes
145689301minutes,145689,Downtime in BREADBLAST06,301,minutes
16326519minutes,163265,Downtime in BREADBLAST07,19,minutes
16328641minutes,163286,Downtime in BREADBLAST04,41,minutes
16329027minutes,163290,Downtime in BREADBLAST07,27,minutes
16329815minutes,163298,Downtime in BREADBLAST06,15,minutes
1632992minutes,163299,Downtime in BREADBLAST06,2,minutes
1632543minutes,163254,Downtime in BREADBLAST07,3,minutes
1633054minutes,163305,Downtime in BREADBLAST07,4,minutes
16331125minutes,163311,Downtime in BREADBLAST07,25,minutes
16331637minutes,163316,Downtime in BREADBLAST07,37,minutes
1633012minutes,163301,Downtime in BREADBLAST05,2,minutes
16331412minutes,163314,Downtime in BREADBLAST06,12,minutes
16332320minutes,163323,Downtime in BREADBLAST07,20,minutes
16331812minutes,163318,Downtime in BREADBLAST05,12,minutes
16339621minutes,163396,Downtime in BREADBLAST04,21,minutes
16332828minutes,163328,Downtime in BREADBLAST06,28,minutes
16029126minutes,160291,Downtime in BREADBLAST05,26,minutes
16029320minutes,160293,Downtime in BREADBLAST05,20,minutes
16029920minutes,160299,Downtime in BREADBLAST05,20,minutes
16030226minutes,160302,Downtime in BREADBLAST04,26,minutes
16030425minutes,160304,Downtime in BREADBLAST05,25,minutes
16030923minutes,160309,Downtime in BREADBLAST05,23,minutes
16031121minutes,160311,Downtime in BREADBLAST05,21,minutes
1603127minutes,160312,Downtime in BREADBLAST07,7,minutes
1603182minutes,160318,Downtime in BREADBLAST05,2,minutes
1603434minutes,160343,Downtime in BREADBLAST07,4,minutes
1603440minutes,160344,Downtime in BREADBLAST07,0,minutes
1603264minutes,160326,Downtime in BREADBLAST05,4,minutes
16033643minutes,160336,Downtime in BREADBLAST05,43,minutes
1603374minutes,160337,Downtime in BREADBLAST05,4,minutes
16035525minutes,160355,Downtime in BREADBLAST05,25,minutes
1603598minutes,160359,Downtime in BREADBLAST05,8,minutes
1603755minutes,160375,Downtime in BREADBLAST07,5,minutes
16035723minutes,160357,Downtime in BREADBLAST05,23,minutes
16040125minutes,160401,Downtime in BREADBLAST05,25,minutes
16291321minutes,162913,Downtime in BREADBLAST06,21,minutes
1629166minutes,162916,Downtime in BREADBLAST04,6,minutes
1629442minutes,162944,Downtime in BREADBLAST05,2,minutes
16295537minutes,162955,Downtime in BREADBLAST05,37,minutes
1629374minutes,162937,Downtime in BREADBLAST04,4,minutes
1629365minutes,162936,Downtime in BREADBLAST04,5,minutes
1629416minutes,162941,Downtime in BREADBLAST05,6,minutes
16295724minutes,162957,Downtime in BREADBLAST04,24,minutes
16299620minutes,162996,Downtime in BREADBLAST04,20,minutes
16298925minutes,162989,Downtime in BREADBLAST04,25,minutes
16405318minutes,164053,Downtime in BREADBLAST06,18,minutes
16409819minutes,164098,Downtime in BREADBLAST05,19,minutes
16411530minutes,164115,Downtime in BREADBLAST06,30,minutes
1641618minutes,164161,Downtime in BREADBLAST06,8,minutes
1596006minutes,159600,Downtime in BREADBLAST07,6,minutes
15960226minutes,159602,Downtime in BREADBLAST05,26,minutes
1596162minutes,159616,Downtime in BREADBLAST04,2,minutes
15963125minutes,159631,Downtime in BREADBLAST07,25,minutes
15964020minutes,159640,Downtime in BREADBLAST04,20,minutes
15963817minutes,159638,Downtime in BREADBLAST04,17,minutes
15964926minutes,159649,Downtime in BREADBLAST04,26,minutes
15964718minutes,159647,Downtime in BREADBLAST07,18,minutes
15965412minutes,159654,Downtime in BREADBLAST06,12,minutes
15966220minutes,159662,Downtime in BREADBLAST04,20,minutes
1596635minutes,159663,Downtime in BREADBLAST04,5,minutes
15965721minutes,159657,Downtime in BREADBLAST04,21,minutes
15966019minutes,159660,Downtime in BREADBLAST04,19,minutes
15967721minutes,159677,Downtime in BREADBLAST04,21,minutes
15857118minutes,158571,Downtime in BREADBLAST07,18,minutes
1585914minutes,158591,Downtime in BREADBLAST05,4,minutes
1585485minutes,158548,Downtime in BREADBLAST07,5,minutes
15856718minutes,158567,Downtime in BREADBLAST06,18,minutes
15858049minutes,158580,Downtime in BREADBLAST05,49,minutes
15858731minutes,158587,Downtime in BREADBLAST05,31,minutes
1585880minutes,158588,Downtime in BREADBLAST05,0,minutes
15859421minutes,158594,Downtime in BREADBLAST05,21,minutes
15859674minutes,158596,Downtime in BREADBLAST07,74,minutes
15859715minutes,158597,Downtime in BREADBLAST05,15,minutes
15865610minutes,158656,Downtime in BREADBLAST07,10,minutes
1641576minutes,164157,Downtime in BREADBLAST06,6,minutes
16421822minutes,164218,Downtime in BREADBLAST05,22,minutes
16423517minutes,164235,Downtime in BREADBLAST06,17,minutes
1590025minutes,159002,Downtime in BREADBLAST07,5,minutes
15903025minutes,159030,Downtime in BREADBLAST05,25,minutes
15903317minutes,159033,Downtime in BREADBLAST05,17,minutes
15904719minutes,159047,Downtime in BREADBLAST04,19,minutes
1590257minutes,159025,Downtime in BREADBLAST07,7,minutes
15903713minutes,159037,Downtime in BREADBLAST04,13,minutes
15903922minutes,159039,Downtime in BREADBLAST04,22,minutes
15904522minutes,159045,Downtime in BREADBLAST07,22,minutes
1590578minutes,159057,Downtime in BREADBLAST04,8,minutes
1590616minutes,159061,Downtime in BREADBLAST07,6,minutes
15906855minutes,159068,Downtime in BREADBLAST06,55,minutes
16480422minutes,164804,Downtime in BREADBLAST05,22,minutes
16480812minutes,164808,Downtime in BREADBLAST05,12,minutes
1648053minutes,164805,Downtime in BREADBLAST05,3,minutes
16481619minutes,164816,Downtime in BREADBLAST04,19,minutes
16485325minutes,164853,Downtime in BREADBLAST04,25,minutes
16485923minutes,164859,Downtime in BREADBLAST06,23,minutes
16426113minutes,164261,Downtime in BREADBLAST05,13,minutes
16432524minutes,164325,Downtime in BREADBLAST05,24,minutes
1642862minutes,164286,Downtime in BREADBLAST05,2,minutes
1643309minutes,164330,Downtime in BREADBLAST05,9,minutes
16431223minutes,164312,Downtime in BREADBLAST06,23,minutes
16436528minutes,164365,Downtime in BREADBLAST05,28,minutes
16143714minutes,161437,Downtime in BREADBLAST05,14,minutes
16145915minutes,161459,Downtime in BREADBLAST05,15,minutes
16148815minutes,161488,Downtime in BREADBLAST07,15,minutes
1614858minutes,161485,Downtime in BREADBLAST07,8,minutes
16153518minutes,161535,Downtime in BREADBLAST05,18,minutes
16146110minutes,161461,Downtime in BREADBLAST07,10,minutes
1615035minutes,161503,Downtime in BREADBLAST07,5,minutes
16150621minutes,161506,Downtime in BREADBLAST07,21,minutes
16153921minutes,161539,Downtime in BREADBLAST07,21,minutes
16156233minutes,161562,Downtime in BREADBLAST07,33,minutes
16038430minutes,160384,Downtime in BREADBLAST06,30,minutes
1603918minutes,160391,Downtime in BREADBLAST06,8,minutes
16038721minutes,160387,Downtime in BREADBLAST06,21,minutes
1604106minutes,160410,Downtime in BREADBLAST06,6,minutes
1604147minutes,160414,Downtime in BREADBLAST06,7,minutes
1604034minutes,160403,Downtime in BREADBLAST07,4,minutes
16040911minutes,160409,Downtime in BREADBLAST06,11,minutes
160413124minutes,160413,Downtime in BREADBLAST05,124,minutes
16041623minutes,160416,Downtime in BREADBLAST05,23,minutes
1604178minutes,160417,Downtime in BREADBLAST05,8,minutes
1604185minutes,160418,Downtime in BREADBLAST05,5,minutes
1604192minutes,160419,Downtime in BREADBLAST05,2,minutes
1604345minutes,160434,Downtime in BREADBLAST04,5,minutes
1604364minutes,160436,Downtime in BREADBLAST04,4,minutes
16044483minutes,160444,Downtime in BREADBLAST07,83,minutes
1604512minutes,160451,Downtime in BREADBLAST05,2,minutes
160452310minutes,160452,Downtime in BREADBLAST05,310,minutes
16047611minutes,160476,Downtime in BREADBLAST05,11,minutes
16050884minutes,160508,Downtime in BREADBLAST07,84,minutes
1605139minutes,160513,Downtime in BREADBLAST05,9,minutes
1604354minutes,160435,Downtime in BREADBLAST04,4,minutes
16045920minutes,160459,Downtime in BREADBLAST05,20,minutes
16097812minutes,160978,Downtime in BREADBLAST07,12,minutes
16103017minutes,161030,Downtime in BREADBLAST05,17,minutes
16103218minutes,161032,Downtime in BREADBLAST05,18,minutes
1610384minutes,161038,Downtime in BREADBLAST05,4,minutes
16099018minutes,160990,Downtime in BREADBLAST05,18,minutes
1609911minutes,160991,Downtime in BREADBLAST05,1,minutes
1610677minutes,161067,Downtime in BREADBLAST04,7,minutes
1610997minutes,161099,Downtime in BREADBLAST07,7,minutes
16101649minutes,161016,Downtime in BREADBLAST07,49,minutes
16104027minutes,161040,Downtime in BREADBLAST05,27,minutes
16104420minutes,161044,Downtime in BREADBLAST05,20,minutes
16105221minutes,161052,Downtime in BREADBLAST05,21,minutes
16105519minutes,161055,Downtime in BREADBLAST05,19,minutes
16106622minutes,161066,Downtime in BREADBLAST04,22,minutes
1610467minutes,161046,Downtime in BREADBLAST05,7,minutes
16105820minutes,161058,Downtime in BREADBLAST06,20,minutes
16107131minutes,161071,Downtime in BREADBLAST07,31,minutes
16103726minutes,161037,Downtime in BREADBLAST05,26,minutes
161086720minutes,161086,Downtime in BREADBLAST05,720,minutes
16104219minutes,161042,Downtime in BREADBLAST05,19,minutes
1683502minutes,168350,Downtime in BREADBLAST05,2,minutes
16835422minutes,168354,Downtime in BREADBLAST04,22,minutes
16836822minutes,168368,Downtime in BREADBLAST06,22,minutes
1683697minutes,168369,Downtime in BREADBLAST06,7,minutes
16837222minutes,168372,Downtime in BREADBLAST04,22,minutes
1683730minutes,168373,Downtime in BREADBLAST04,0,minutes
1683559minutes,168355,Downtime in BREADBLAST04,9,minutes
16836422minutes,168364,Downtime in BREADBLAST04,22,minutes
16836517minutes,168365,Downtime in BREADBLAST04,17,minutes
168374208minutes,168374,Downtime in BREADBLAST07,208,minutes
168375720minutes,168375,Downtime in BREADBLAST07,720,minutes
168376720minutes,168376,Downtime in BREADBLAST07,720,minutes
168377720minutes,168377,Downtime in BREADBLAST07,720,minutes
168378720minutes,168378,Downtime in BREADBLAST07,720,minutes
168379720minutes,168379,Downtime in BREADBLAST07,720,minutes
168380720minutes,168380,Downtime in BREADBLAST07,720,minutes
168381720minutes,168381,Downtime in BREADBLAST07,720,minutes
168382720minutes,168382,Downtime in BREADBLAST07,720,minutes
168383720minutes,168383,Downtime in BREADBLAST07,720,minutes
168384720minutes,168384,Downtime in BREADBLAST07,720,minutes
168385720minutes,168385,Downtime in BREADBLAST07,720,minutes
168386720minutes,168386,Downtime in BREADBLAST07,720,minutes
168387720minutes,168387,Downtime in BREADBLAST07,720,minutes
168388720minutes,168388,Downtime in BREADBLAST07,720,minutes
168389720minutes,168389,Downtime in BREADBLAST07,720,minutes
168390720minutes,168390,Downtime in BREADBLAST07,720,minutes
168391720minutes,168391,Downtime in BREADBLAST07,720,minutes
168392720minutes,168392,Downtime in BREADBLAST07,720,minutes
168393720minutes,168393,Downtime in BREADBLAST07,720,minutes
168394720minutes,168394,Downtime in BREADBLAST07,720,minutes
168395720minutes,168395,Downtime in BREADBLAST07,720,minutes
168396720minutes,168396,Downtime in BREADBLAST07,720,minutes
168397720minutes,168397,Downtime in BREADBLAST07,720,minutes
168398720minutes,168398,Downtime in BREADBLAST07,720,minutes
168399720minutes,168399,Downtime in BREADBLAST07,720,minutes
168400720minutes,168400,Downtime in BREADBLAST07,720,minutes
168401720minutes,168401,Downtime in BREADBLAST07,720,minutes
168402720minutes,168402,Downtime in BREADBLAST07,720,minutes
168403720minutes,168403,Downtime in BREADBLAST07,720,minutes
168404720minutes,168404,Downtime in BREADBLAST07,720,minutes
168405720minutes,168405,Downtime in BREADBLAST07,720,minutes
168406720minutes,168406,Downtime in BREADBLAST07,720,minutes
168407720minutes,168407,Downtime in BREADBLAST07,720,minutes
168408720minutes,168408,Downtime in BREADBLAST07,720,minutes
168409720minutes,168409,Downtime in BREADBLAST07,720,minutes
168410720minutes,168410,Downtime in BREADBLAST07,720,minutes
168411720minutes,168411,Downtime in BREADBLAST07,720,minutes
168412720minutes,168412,Downtime in BREADBLAST07,720,minutes
168413720minutes,168413,Downtime in BREADBLAST07,720,minutes
168414720minutes,168414,Downtime in BREADBLAST07,720,minutes
168415720minutes,168415,Downtime in BREADBLAST07,720,minutes
168416720minutes,168416,Downtime in BREADBLAST07,720,minutes
168417720minutes,168417,Downtime in BREADBLAST07,720,minutes
168418720minutes,168418,Downtime in BREADBLAST07,720,minutes
168419720minutes,168419,Downtime in BREADBLAST07,720,minutes
168420720minutes,168420,Downtime in BREADBLAST07,720,minutes
168421720minutes,168421,Downtime in BREADBLAST07,720,minutes
168422720minutes,168422,Downtime in BREADBLAST07,720,minutes
168423720minutes,168423,Downtime in BREADBLAST07,720,minutes
168424720minutes,168424,Downtime in BREADBLAST07,720,minutes
16489316minutes,164893,Downtime in BREADBLAST04,16,minutes
16493414minutes,164934,Downtime in BREADBLAST05,14,minutes
16490721minutes,164907,Downtime in BREADBLAST05,21,minutes
16490917minutes,164909,Downtime in BREADBLAST05,17,minutes
16492710minutes,164927,Downtime in BREADBLAST06,10,minutes
1649282minutes,164928,Downtime in BREADBLAST06,2,minutes
1649455minutes,164945,Downtime in BREADBLAST04,5,minutes
16495721minutes,164957,Downtime in BREADBLAST06,21,minutes
16387013minutes,163870,Downtime in BREADBLAST04,13,minutes
16388022minutes,163880,Downtime in BREADBLAST04,22,minutes
16392621minutes,163926,Downtime in BREADBLAST06,21,minutes
16392824minutes,163928,Downtime in BREADBLAST04,24,minutes
